First Name,Last Name,Employee ID,Emplpyee Status,Email Address,Hire Date,Start Date,Status Change Date,Anniversary M/D,Supervisor 1,Supervisor 2,Supervisor 3 ,Position Type,Level 1 Code,Level 2 Code,Level 3 Code,Level 4 Code,Street Address,City,State,Zip Code,FLSA Status,Union,Custom Field 1 ,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5
Employee,Test1,1,Active,Test1@outlook.com,6/18/2015,2/28/2018,6/13/2011,8/15/2017,,,,Primary,BHS,H1,IP,RN,"1 Hospital Way, hbib, colombia",Boston,MA,2125,Non-Exempt,Y,,,,,
Employee,Test2,2,Active,Test2@outlook.com,2/22/2011,6/22/2014,10/9/2017,10/18/2016,1,,,Primary,BHS,H1,IP,MA,1 Hospital Way,Boston,MA,2125,Non-Exempt,N,,,,,
Employee,Test3,3,Active,Test3@outlook.com,5/15/2017,12/15/2011,4/25/2012,3/13/2013,2,1,,Primary,BHS,H1,IP,NA,1 Hospital Way,Boston,MA,2125,Non-Exempt,N,,,,,
Employee,Test4,4,Inactive,Test4@outlook.com,1/23/2013,4/8/2014,5/7/2013,8/2/2011,3,2,1,Primary,BHS,H1,OB,HA,1 Hospital Way,Boston,MA,2125,Non-Exempt,N,,,,,
Employee,Test5,5,Active,Test5@outlook.com,10/3/2015,10/9/2014,2/10/2017,10/13/2012,3,2,1,Primary,BHS,H1,OB,LPN,1 Hospital Way,Boston,MA,2125,Non-Exempt,N,,,,,
Employee,Test6,6,Leave,Test6@outlook.com,10/3/2014,3/20/2017,11/24/2016,8/25/2015,3,2,1,Primary,BHS,H1,OB,PH,1 Hospital Way,Boston,MA,2125,Non-Exempt,N,,,,,
Employee,Test7,7,Active,Test7@outlook.com,1/30/2018,8/29/2015,2/9/2011,2/18/2012,3,2,1,Primary,BHS,H1,OB,TH,1 Hospital Way,Boston,MA,2125,Non-Exempt,N,,,,,
Employee,Test8,8,Active,Test8@outlook.com,11/4/2013,11/26/2015,1/30/2017,5/10/2016,4,3,2,Primary,BHS,H1,PC,PT,1 Hospital Way,Boston,MA,2125,Non-Exempt,N,,,,,
Employee,Test9,9,Active,Test9@outlook.com,9/14/2014,4/14/2018,11/11/2011,2/10/2018,4,3,2,Primary,BHS,H1,PC,LT,1 Hospital Way,Boston,MA,2125,Exempt,N,,,,,
Employee,Test10,10,Active,Test10@outlook.com,9/15/2016,4/1/2013,10/13/2016,1/6/2013,4,3,2,Primary,BHS,H1,PC,RT,1 Hospital Way,Boston,MA,2125,Exempt,N,,,,,
Employee,Test11,11,Active,Test11@outlook.com,7/28/2017,8/15/2012,1/31/2017,1/18/2012,4,3,2,Primary,BHS,H1,PC,EMY,1 Hospital Way,Boston,MA,2125,Exempt,N,,,,,
Employee,Test12,12,Active,Test12@outlook.com,7/3/2018,2/11/2017,10/25/2012,7/18/2013,4,3,2,Primary,BHS,H1,PC,PHT,1 Hospital Way,Boston,MA,2125,Exempt,N,,,,,
Employee,Test13,13,Active,Test13@outlook.com,2/18/2016,9/25/2014,4/22/2016,5/29/2016,4,3,2,Primary,BHS,H1,PC,SL,1 Hospital Way,Boston,MA,2125,Exempt,N,,,,,
Employee,Test14,14,Active,Test14@outlook.com,3/6/2016,5/23/2017,6/2/2017,7/27/2017,4,3,2,Primary,BHS,H1,PC,RT,1 Hospital Way,Boston,MA,2125,Exempt,N,,,,,
Employee,Test15,15,Active,Test15@outlook.com,4/9/2017,6/25/2012,7/5/2017,12/28/2013,5,4,3,Primary,BHS,H1,PE,RN,1 Hospital Way,Boston,MA,2125,Exempt,Y,,,,,
Employee,Test16,16,Active,Test16@outlook.com,5/12/2014,11/25/2016,1/8/2018,6/23/2018,5,4,3,Primary,BHS,H1,PE,MA,1 Hospital Way,Boston,MA,2125,Exempt,N,,,,,
